,rank,page,each_page_rank,keword,PC_search,Mobile_search,productId,title,lowPrice,highPrice,mallName,productGroup,productType,brand,maker,category1,category2,category3,category4,image
0,0,1,1,초파리,4290,17200,80914344720,신기패 2개입 분필형 해충약 바퀴벌레약 초파리트랩 개미약 살충제 벌레약,9900,0,자취생으로살아남기 스토어,일반상품,가격비교 비매칭 일반상품,신기패,경인제약,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8091434/80914344720.5.jpg
1,1,1,2,초파리,4290,17200,81962367032,초파리 싹 나방파리 제거 퇴치법 페스트세븐 초파리트랩,9900,0,페스트세븐,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8196236/81962367032.1.jpg
2,2,1,3,초파리,4290,17200,12908866779,홈키파 초파리싹 내츄럴 290ml,7750,21100,네이버,일반상품,가격비교 상품,홈키파,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_1290886/12908866779.20200814104639.jpg
3,3,1,4,초파리,4290,17200,11781220969,울트라델타 모기 파리 나방파리 초파리 벌레 해충 유충 정화조 친환경 연막 퇴치제 살충제,29000,0,비티글로벌,일반상품,가격비교 비매칭 일반상품,,비티글로벌,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_1178122/11781220969.jpg
4,4,1,5,초파리,4290,17200,82461228809,살충제 파비 잔류성 구더기 모기 노래기 지네 집거미 개미 송충이 퇴치법 퇴치 약 뿌리 나방 파리 약 화장실 바퀴 돈 좀 벌레 먼지다듬이 천연 쌀 좀 초파리 톡톡이 제거 해충,14000,0,식물의집,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8246122/82461228809.jpg
5,5,1,6,초파리,4290,17200,80619573519,신기패 2개입 바퀴벌레약 초파리트랩 개미약,9900,0,메디미샵,일반상품,가격비교 비매칭 일반상품,신기패,경인제약,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8061957/80619573519.7.jpg
6,6,1,7,초파리,4290,17200,82179387547,신기패 2개입 초파리트랩 바퀴벌레 개미 해충퇴치 퇴치제 살충제 벌레약 집콕 생활 놀이,9900,0,오마이남친,일반상품,가격비교 비매칭 일반상품,,경인제약,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8217938/82179387547.jpg
7,7,1,8,초파리,4290,17200,82466349709,무료배송 유한양행 해피홈 제로 초파리 스프레이 290ml x 2개,10400,0,비령마켓,일반상품,가격비교 비매칭 일반상품,유한양행,유한양행,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8246634/82466349709.jpg
8,8,1,9,초파리,4290,17200,23277660973,킬파프 초파리 트랩,5000,0,쿠팡,일반상품,가격비교 비매칭 일반상품,킬파프,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2327766/23277660973.jpg
9,9,1,10,초파리,4290,17200,82048981995,날파리 퇴치법 초파리 나방 모기 해충 없애는법 모기퇴치기,49500,0,착한장터,일반상품,가격비교 비매칭 일반상품,오르다,ORDA,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8204898/82048981995.jpg
