,rank,page,each_page_rank,keword,PC_search,Mobile_search,productId,title,lowPrice,highPrice,mallName,productGroup,productType,brand,maker,category1,category2,category3,category4,image
0,0,1,1,초파리싹,240,930,81962367032,초파리 싹 나방파리 제거 퇴치법 페스트세븐 초파리트랩,9900,0,페스트세븐,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8196236/81962367032.1.jpg
1,1,1,2,초파리싹,240,930,12908866779,홈키파 초파리싹 내츄럴 290ml,6730,21100,네이버,일반상품,가격비교 상품,홈키파,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_1290886/12908866779.20200814104639.jpg
2,2,1,3,초파리싹,240,930,24026083004,홈키파 초파리싹,12500,0,쿠팡,일반상품,가격비교 비매칭 일반상품,홈키파,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2402608/24026083004.1.jpg
3,3,1,4,초파리싹,240,930,82621192463,홈키파 초파리싹 내츄럴알파 290ml 초파리약 날파리퇴치제,7890,0,헬로우메디,일반상품,가격비교 비매칭 일반상품,홈키파,승일,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8262119/82621192463.1.jpg
4,4,1,5,초파리싹,240,930,82621073724,초파리 싹 나방파리 벼룩파리 퇴치법 페스트세븐 초파리트랩,9900,0,페스트세븐,일반상품,가격비교 비매칭 일반상품,페스트세븐,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8262107/82621073724.jpg
5,5,1,6,초파리싹,240,930,82479107921,초파리퇴치법 초파리 트랩 날파리 살충제 해충제 초파리싹 퇴치 가정용 퇴치제 벌레 하수구,3570,0,The Styliahn,일반상품,가격비교 비매칭 일반상품,홈키파,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8247910/82479107921.1.jpg
6,6,1,7,초파리싹,240,930,82468054885,초파리 트랩 퇴치 약 싹 트랩 퇴치법 날파리,3570,0,TABIA,일반상품,가격비교 비매칭 일반상품,일양약품,일양약품,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8246805/82468054885.jpg
7,7,1,8,초파리싹,240,930,82538212898,일양약품 스마트 초파리트랩 리빙굿 홈키파 초파리 싹 스프레이 290ml,1730,0,미미하우스코리아,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8253821/82538212898.jpg
8,8,1,9,초파리싹,240,930,82498189169,날파리퇴치제 벌레 없애기 홈키파 초파리싹 제거 기피제 주방 화장실 식당,10650,0,유투데이,일반상품,가격비교 비매칭 일반상품,,유한양행,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8249818/82498189169.2.jpg
9,9,1,10,초파리싹,240,930,82696821781,홈키파 초파리싹 내츄럴알파 290ml,7600,0,오렌지팜,일반상품,가격비교 비매칭 일반상품,홈키파,승일,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8269682/82696821781.1.jpg
