,rank,page,each_page_rank,keword,PC_search,Mobile_search,productId,title,lowPrice,highPrice,mallName,productGroup,productType,brand,maker,category1,category2,category3,category4,image
0,0,1,1,초파리퇴치법,1650,13900,81962367032,초파리 싹 나방파리 제거 퇴치법 페스트세븐 초파리트랩,9900,0,페스트세븐,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8196236/81962367032.1.jpg
1,1,1,2,초파리퇴치법,1650,13900,82461228809,살충제 파비 잔류성 구더기 모기 노래기 지네 집거미 개미 송충이 퇴치법 퇴치 약 뿌리 나방 파리 약 화장실 바퀴 돈 좀 벌레 먼지다듬이 천연 쌀 좀 초파리 톡톡이 제거 해충,14000,0,식물의집,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8246122/82461228809.jpg
2,2,1,3,초파리퇴치법,1650,13900,82048981995,날파리 퇴치법 초파리 나방 모기 해충 없애는법 모기퇴치기,49500,0,착한장터,일반상품,가격비교 비매칭 일반상품,오르다,ORDA,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8204898/82048981995.jpg
3,3,1,4,초파리퇴치법,1650,13900,82479107921,초파리퇴치법 초파리 트랩 날파리 살충제 해충제 초파리싹 퇴치 가정용 퇴치제 벌레 하수구,3570,0,The Styliahn,일반상품,가격비교 비매칭 일반상품,홈키파,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8247910/82479107921.1.jpg
4,4,1,5,초파리퇴치법,1650,13900,82570489844,초파리퇴치제 초파리퇴치법 살충제 날파리 나방파리 초파리트랩 스프레이 약 진드기 해피홈,5980,0,인테리어 해움,일반상품,가격비교 비매칭 일반상품,해피홈,유한양행,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8257048/82570489844.jpg
5,5,1,6,초파리퇴치법,1650,13900,24230498246,초파리퇴치법 - 골치 아픈 초파리 간단하게 제거하는 스프레이,13900,0,에어파,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2423049/24230498246.jpg
6,6,1,7,초파리퇴치법,1650,13900,82621073724,초파리 싹 나방파리 벼룩파리 퇴치법 페스트세븐 초파리트랩,9900,0,페스트세븐,일반상품,가격비교 비매칭 일반상품,페스트세븐,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8262107/82621073724.jpg
7,7,1,8,초파리퇴치법,1650,13900,80513191914,끈끈이10장 날파리 퇴치 초파리 트랩 퇴치법 화장실 하수구,55000,0,웰리노,일반상품,가격비교 비매칭 일반상품,웰리노,이레그린,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8051319/80513191914.1.jpg
8,8,1,9,초파리퇴치법,1650,13900,82468054885,초파리 트랩 퇴치 약 싹 트랩 퇴치법 날파리,3570,0,TABIA,일반상품,가격비교 비매칭 일반상품,일양약품,일양약품,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8246805/82468054885.jpg
9,9,1,10,초파리퇴치법,1650,13900,82605159485,살충제 파비 1+1 잔류성 구더기 모기 노래기 지네 집거미 개미 노린재 퇴치법 퇴치 약 뿌리 나방 파리 약 화장실 바퀴 돈 좀 벌레 먼지다듬이 천연 쌀 좀 초파리 제거 해충,26000,0,식물의집,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8260515/82605159485.jpg
10,10,1,11,초파리퇴치법,1650,13900,82133905973,초파리 날파리 천연 벌레 제거제 퇴치제 퇴치법,7140,0,꿀복마켓,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8213390/82133905973.1.jpg
11,11,1,12,초파리퇴치법,1650,13900,23697959417,초파리 퇴치제 날파리 해충 제거 살충제 스프레이 가정용 퇴치법,15000,0,헤드세,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2369795/23697959417.jpg
12,12,1,13,초파리퇴치법,1650,13900,24230498169,날파리퇴치법 - 흔들어서 뿌리기만 하면 끝나는 간편한 스프레이,13900,0,에어파,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2423049/24230498169.jpg
13,13,1,14,초파리퇴치법,1650,13900,82563152420,초파리 날파리 퇴치법 트랩,24800,0,정글 짐,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8256315/82563152420.3.jpg
14,14,1,15,초파리퇴치법,1650,13900,82618615725,초파리트랩 날파리퇴치법 블랙 화이트 UV LED 초파리퇴치법 먼지다듬이 모기 해충 킬러,19500,0,부자창고,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8261861/82618615725.jpg
15,15,1,16,초파리퇴치법,1650,13900,80651350233,날파리 퇴치 초파리 퇴치법 나방 파리 화랑곡나방 없애는법 트랩,79000,0,퓨어비,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8065135/80651350233.jpg
16,16,1,17,초파리퇴치법,1650,13900,80996805416,초파리 트랩 퇴치 알 애벌레 없애는 방법 파리퇴치법 생기는 이유 없애기 초파리제거제 제거 박멸 초파리살충제 끈끈이 페스트세븐킬420ml,7500,0,페스트세븐,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8099680/80996805416.jpg
17,17,1,18,초파리퇴치법,1650,13900,82445077742,약국 바퀴벌레약 좀벌레 퇴치법 침개미 집거미 날개미 퇴치 다이소 흰개미 날파리 초파리,4900,0,BAR CODE,일반상품,가격비교 비매칭 일반상품,,헨켈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8244507/82445077742.jpg
18,18,1,19,초파리퇴치법,1650,13900,82613594909,초파리 퇴치법 날파리 하루살이 해충 포충기 트랩 유인제,2460,0,퍼스트카트,일반상품,가격비교 비매칭 일반상품,,비엘코리아,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8261359/82613594909.jpg
19,19,1,20,초파리퇴치법,1650,13900,81004091979,롱다운유제 연무제 연무기 연막기 개미퇴치법 날파리없애는법,40000,0,슈퍼푸드스토어,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8100409/81004091979.jpg
20,20,1,21,초파리퇴치법,1650,13900,82511546983,날파리 초파리 퇴치법 초파리싹 제거 퇴치제 약,9360,0,내손안에 포켓샵,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8251154/82511546983.jpg
21,21,1,22,초파리퇴치법,1650,13900,82454330082,퓨리어 아웃도어가드프로 천연유래 식물추출물 기피효과 빈대 옴진드기 먼지다듬이 초파리퇴치법,4200,0,로터스블랑,일반상품,가격비교 비매칭 일반상품,퓨리어,지투지,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8245433/82454330082.jpg
22,22,1,23,초파리퇴치법,1650,13900,82497801546,날파리퇴치법 초파리없애는법 나방파리트랩,11500,0,아이조타,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8249780/82497801546.jpg
23,23,1,24,초파리퇴치법,1650,13900,82612618882,끈끈이10장 날파리 퇴치 초파리 나방 트랩 퇴치법,55000,0,모기퇴치코리아,일반상품,가격비교 비매칭 일반상품,,이레그린,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8261261/82612618882.jpg
24,24,1,25,초파리퇴치법,1650,13900,82628998536,날파리 트랩 초파리 퇴치법 모기학살 무드등 LED 다용도 조명 자취방 꾸미기,28600,0,모인마켓,일반상품,가격비교 비매칭 일반상품,,포커스,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8262899/82628998536.jpg
25,25,1,26,초파리퇴치법,1650,13900,82167171948,초파리 날파리 퇴치법 없애는법 트랩 천연 모기 퇴치제 퇴치기,9700,0,네코네코샵,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8216717/82167171948.jpg
26,26,1,27,초파리퇴치법,1650,13900,82455138419,퓨리어 이카리딘 모기기피제 아기모기퇴치제 빈대 옴진드기 먼지다듬이 초파리퇴치법 벌레퇴치,8000,0,로터스블랑,일반상품,가격비교 비매칭 일반상품,퓨리어,지투지,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8245513/82455138419.1.jpg
27,27,1,28,초파리퇴치법,1650,13900,82579646682,해충 초파리퇴치법 날파리 트랩 집에날파리 나방파리 초파리없애는방법 벌레끈끈이 쓰레기통,2900,0,퍼플리치,일반상품,가격비교 비매칭 일반상품,,대길산업,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8257964/82579646682.jpg
28,28,1,29,초파리퇴치법,1650,13900,82580923968,초파리 트랩 퇴치 싱크대 주방 과일 야채 음식물 쓰레기 통 날파리 제거 초파리 퇴치법,3820,0,원쇼핑,일반상품,가격비교 비매칭 일반상품,비엘코리아,비엘코리아,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8258092/82580923968.jpg
29,29,1,30,초파리퇴치법,1650,13900,24384726374,벌레 기피제 업소용 가정용 벅킬러 초파리퇴치법,88100,0,G마켓,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2438472/24384726374.jpg
30,30,1,31,초파리퇴치법,1650,13900,82152824943,날파리 퇴치법 초파리 트랩모기 퇴치기 없애는법,9800,0,더베어리어스,일반상품,가격비교 비매칭 일반상품,,유니맥스이엔엘,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8215282/82152824943.5.jpg
31,31,1,32,초파리퇴치법,1650,13900,82678662177,초파리퇴치법 날파리없애는법 옴진드기 강력스프레이 대한민국제작 HPH,9900,0,김선달마켓,일반상품,가격비교 비매칭 일반상품,해피홈,해피홈,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8267866/82678662177.jpg
32,32,1,33,초파리퇴치법,1650,13900,82638534753,초파리트랩 초파리싹 초파리 퇴치법 날파리 없애는법 만들기 퇴치기 화장실 하수구 싱크대,4490,0,진스브로,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8263853/82638534753.jpg
33,33,1,34,초파리퇴치법,1650,13900,82586232483,초파리퇴치법 날파리 해충 벌레 퇴치법 잡는법 초파리제로 무향 스프레이,5900,0,더피망,일반상품,가격비교 비매칭 일반상품,해피홈,유한양행,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_8258623/82586232483.jpg
34,34,1,35,초파리퇴치법,1650,13900,24384658415,벌레 기피제 업소용 가정용 벅킬러 초파리퇴치법,88100,0,G마켓,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2438465/24384658415.jpg
35,35,1,36,초파리퇴치법,1650,13900,24384657306,벌레 기피제 업소용 가정용 벅킬러 초파리퇴치법,88100,0,G마켓,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2438465/24384657306.jpg
36,36,1,37,초파리퇴치법,1650,13900,24384682859,벌레 기피제 업소용 가정용 벅킬러 초파리퇴치법,88100,0,G마켓,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2438468/24384682859.jpg
37,37,1,38,초파리퇴치법,1650,13900,24384554510,벌레 기피제 업소용 가정용 벅킬러 초파리퇴치법,88100,0,G마켓,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2438455/24384554510.jpg
38,38,1,39,초파리퇴치법,1650,13900,24381874824,벌레 기피제 업소용 가정용 벅킬러 초파리퇴치법,88100,0,옥션,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2438187/24381874824.jpg
39,39,1,40,초파리퇴치법,1650,13900,24381138464,벌레 기피제 업소용 가정용 벅킬러 초파리퇴치법,88100,0,옥션,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2438113/24381138464.jpg
40,40,2,1,초파리퇴치법,1650,13900,24381741596,벌레 기피제 업소용 가정용 벅킬러 초파리퇴치법,88100,0,옥션,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2438174/24381741596.jpg
41,41,2,2,초파리퇴치법,1650,13900,24381852543,벌레 기피제 업소용 가정용 벅킬러 초파리퇴치법,88100,0,옥션,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2438185/24381852543.jpg
42,42,2,3,초파리퇴치법,1650,13900,24381537254,벌레 기피제 업소용 가정용 벅킬러 초파리퇴치법,88100,0,옥션,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2438153/24381537254.jpg
43,43,2,4,초파리퇴치법,1650,13900,24381077423,벌레 기피제 업소용 가정용 벅킬러 초파리퇴치법,88100,0,인터파크,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2438107/24381077423.jpg
44,44,2,5,초파리퇴치법,1650,13900,24381059183,벌레 기피제 업소용 가정용 벅킬러 초파리퇴치법,88100,0,인터파크,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2438105/24381059183.jpg
