,rank,page,each_page_rank,keword,PC_search,Mobile_search,productId,title,lowPrice,highPrice,mallName,productGroup,productType,brand,maker,category1,category2,category3,category4,image
0,8,1,9,초파리,4290,17200,23277660973,킬파프 초파리 트랩,5000,0,쿠팡,일반상품,가격비교 비매칭 일반상품,킬파프,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2327766/23277660973.jpg
1,10,1,11,초파리,4290,17200,24026083004,홈키파 초파리싹,15770,0,쿠팡,일반상품,가격비교 비매칭 일반상품,홈키파,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2402608/24026083004.1.jpg
2,46,2,7,초파리,4290,17200,19228088794,일양약품 스마트 초파리 트랩,4500,0,쿠팡,일반상품,가격비교 비매칭 일반상품,일양약품,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_1922808/19228088794.jpg
3,70,2,31,초파리,4290,17200,22420772119,K마켓 유한양행 해피홈 초파리제로 스프레이,9900,0,쿠팡,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2242077/22420772119.1.jpg
4,114,3,35,초파리,4290,17200,22974873848,해피홈 초파리제로,7600,0,쿠팡,일반상품,가격비교 비매칭 일반상품,해피홈,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2297487/22974873848.4.jpg
5,121,4,2,초파리,4290,17200,24123416801,일양약품 초파리 스프레이 300ml,5500,0,쿠팡,일반상품,가격비교 비매칭 일반상품,일양약품,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2412341/24123416801.jpg
6,169,5,10,초파리,4290,17200,19423191019,킬파프 DBK 플라이케쳐 초파리트랩 15mlx3 살충제,17900,0,쿠팡,일반상품,가격비교 비매칭 일반상품,킬파프,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_1942319/19423191019.12.jpg
7,197,5,38,초파리,4290,17200,22865097549,일양약품 스마트홈 초파리트랩 3개(유인제+용기),14800,0,쿠팡,일반상품,가격비교 비매칭 일반상품,일양약품,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2286509/22865097549.jpg
8,206,6,7,초파리,4290,17200,19423234486,킬파프 DBK 플라이케쳐 초파리트랩 15mlx4 살충제,21900,0,쿠팡,일반상품,가격비교 비매칭 일반상품,킬파프,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_1942323/19423234486.jpg
9,220,6,21,초파리,4290,17200,23213472484,리빙굿 초파리 트랩,2000,0,쿠팡,일반상품,가격비교 비매칭 일반상품,리빙굿,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2321347/23213472484.jpg
10,237,6,38,초파리,4290,17200,24130670201,홈키파 초파리싹,44980,0,쿠팡,일반상품,가격비교 비매칭 일반상품,홈키파,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2413067/24130670201.jpg
11,252,7,13,초파리,4290,17200,23633733052,홈키파 수성에어졸 무향 초파리 모기 퇴치 스프레이 에프킬라,2200,0,쿠팡,일반상품,가격비교 비매칭 일반상품,홈키파,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2363373/23633733052.jpg
12,253,7,14,초파리,4290,17200,19227067020,일양약품 스마트 초파리트랩(용기+유인제)-2개 날파리,11500,0,쿠팡,일반상품,가격비교 비매칭 일반상품,일양약품,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_1922706/19227067020.jpg
13,259,7,20,초파리,4290,17200,22332459726,독일DBK기술 초파리트랩 초파리약,7490,0,쿠팡,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2233245/22332459726.1.jpg
14,290,8,11,초파리,4290,17200,23456852989,리빙굿 과일파리 초파리 트랩 15g x 5개,10300,0,쿠팡,일반상품,가격비교 비매칭 일반상품,리빙굿,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2345685/23456852989.jpg
15,298,8,19,초파리,4290,17200,23779034241,유한양행 해피홈 초파리제로 290ml 2개,13800,0,쿠팡,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2377903/23779034241.jpg
16,311,8,32,초파리,4290,17200,22752004778,해피홈 초파리 제로 스프레이 290ml X 2개,11250,0,쿠팡,일반상품,가격비교 비매칭 일반상품,해피홈,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2275200/22752004778.jpg
17,348,9,29,초파리,4290,17200,19166468376,DBK 킬파프 플라이케쳐 초파리트랩 15mlx2,13900,0,쿠팡,일반상품,가격비교 비매칭 일반상품,킬파프,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_1916646/19166468376.2.jpg
18,362,10,3,초파리,4290,17200,24143434262,홈매트 초파리싹 290ml,34980,0,쿠팡,일반상품,가격비교 비매칭 일반상품,홈매트,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2414343/24143434262.jpg
19,377,10,18,초파리,4290,17200,22746660450,해피홈 초파리 제로 스프레이 290ml,5500,0,쿠팡,일반상품,가격비교 비매칭 일반상품,해피홈,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2274666/22746660450.jpg
20,398,10,39,초파리,4290,17200,23835024570,대용량 500ML  초파리싹 살충제 킬파프  (국화 추출물) 2EA 무료배송,13000,0,쿠팡,일반상품,가격비교 비매칭 일반상품,,,생활/건강,생활용품,해충퇴치용품,에어졸/스프레이,https://shopping-phinf.pstatic.net/main_2383502/23835024570.jpg
